iter	RMSE
0	4.235838801
1	4.186674232
2	4.144600986
3	4.101536753
4	4.070145986
5	4.027806881
6	4.003256997
7	3.962160751
8	3.925214572
9	3.88400502
10	3.833616963
11	3.782421746
12	3.741784839
13	3.70781355
14	3.672021254
15	3.633500905
16	3.591245449
17	3.559783967
18	3.528886175
19	3.496955
20	3.459424647
21	3.433249719
22	3.402560929
23	3.373179479
24	3.334995383
25	3.305914585
26	3.267266297
27	3.238298061
28	3.207875249
29	3.16974503
30	3.143194496
31	3.111256697
32	3.0856041
33	3.053029304
34	3.028610024
35	2.99486886
36	2.974235431
37	2.946814003
38	2.926226937
39	2.892877831
40	2.867282218
41	2.830735574
42	2.800292121
43	2.776574648
44	2.743850146
45	2.717534192
46	2.690290472
47	2.67454054
48	2.65100987
49	2.634672761
50	2.612424607
51	2.583393194
52	2.561986339
53	2.531307756
54	2.509672696
55	2.484592174
56	2.464711863
57	2.435959348
58	2.419489529
59	2.397523724
60	2.379334436
61	2.348354899
62	2.331248481
63	2.304871265
64	2.286040703
65	2.258694539
66	2.232249015
67	2.20549101
68	2.187042409
69	2.162100904
70	2.141664191
71	2.121323715
72	2.103819507
73	2.079680487
74	2.056849666
75	2.038994668
76	2.024035133
77	1.99998906
78	1.984196111
79	1.967779253
80	1.950834918
81	1.932799927
82	1.915035496
83	1.899174702
84	1.884163901
85	1.869573101
86	1.851990995
87	1.837937694
88	1.825608021
89	1.809970171
90	1.790224607
91	1.775441742
92	1.76120118
93	1.744260626
94	1.729617182
95	1.717320133
96	1.705569679
97	1.691721852
98	1.679718798
99	1.66484596
100	1.647998928
101	1.629276028
102	1.616680383
103	1.598936584
104	1.582350791
105	1.566529355
106	1.554740072
107	1.539965228
108	1.527538396
109	1.516016412
110	1.501117137
111	1.487663003
112	1.471220831
113	1.456015332
114	1.443887913
115	1.431268571
116	1.421365057
117	1.40775516
118	1.397013813
119	1.381185201
120	1.370581153
121	1.354296992
122	1.34217386
123	1.327946792
124	1.317921897
125	1.30679242
126	1.296675451
127	1.283733907
128	1.273600483
129	1.264080397
130	1.253403575
131	1.245154148
132	1.233820944
133	1.222869075
134	1.209955717
135	1.20054434
136	1.18787545
137	1.176019208
138	1.165490597
139	1.155093034
140	1.144246938
141	1.134060238
142	1.120150945
143	1.108803516
144	1.098336604
145	1.088259889
146	1.072461544
147	1.063004861
148	1.055502885
149	1.046221003
150	1.032350174
151	1.023096295
152	1.013688904
153	1.004654997
154	0.9936452994
155	0.985798299
156	0.9768682044
157	0.9700267597
158	0.960373665
159	0.9533075714
160	0.9447516177
161	0.9350989454
162	0.9273563608
163	0.919085976
164	0.9109343787
165	0.9032108475
166	0.8965799151
167	0.8895755886
168	0.881969602
169	0.8741797746
170	0.8664486263
171	0.8595866234
172	0.8521597178
173	0.8450558914
174	0.8368217395
175	0.8270202882
176	0.819434546
177	0.8137120408
178	0.8064968324
179	0.7996768821
180	0.7898065308
181	0.7826763891
182	0.7736835173
183	0.7666229522
184	0.7593239462
185	0.7511818564
186	0.7424344253
187	0.7352643239
188	0.72882774
189	0.7224916731
190	0.7148580139
191	0.7095027762
192	0.7016043986
193	0.6952436719
194	0.6898481854
195	0.6838711926
196	0.6770552874
197	0.6715126526
198	0.6650776292
199	0.6587513386
200	0.6526851975
201	0.6474247358
202	0.6419912183
203	0.6374846769
204	0.6329283231
205	0.6266857458
206	0.6220831864
207	0.61699925
208	0.6111531319
209	0.6066849021
210	0.601273289
211	0.5938718778
212	0.5880732775
213	0.5839014758
214	0.5781121803
215	0.5721337259
216	0.5661057053
217	0.5612494375
218	0.5547305407
219	0.5507463146
220	0.5468189297
221	0.5424733823
222	0.537736198
223	0.5339889751
224	0.5290785627
225	0.5255712336
226	0.5224148224
227	0.518040459
228	0.5144843803
229	0.5103793683
230	0.5060306323
231	0.502404247
232	0.4981795389
233	0.4938617409
234	0.4897784971
235	0.4860432528
236	0.4828267986
237	0.4784044077
238	0.4754332627
239	0.4700052474
240	0.4663032596
241	0.4621155199
242	0.4586408164
243	0.4542391844
244	0.4502295882
245	0.4467076404
246	0.4438665372
247	0.4404056228
248	0.4363743814
249	0.4326298813
250	0.4287709416
251	0.4259192783
252	0.4218963431
253	0.4188042556
254	0.4150489162
255	0.4118738455
256	0.4079863725
257	0.4040952981
258	0.4009477064
259	0.3977235754
260	0.3948976209
261	0.3915202362
262	0.3884681751
263	0.3854809794
264	0.3825103894
265	0.3796377634
266	0.3766646301
267	0.3739993634
268	0.3710535166
269	0.3683300784
270	0.3648219169
271	0.3625456998
272	0.3602594895
273	0.3575250029
274	0.3546732528
275	0.3512935423
276	0.3483437214
277	0.3456912278
278	0.3429871099
279	0.3409223747
280	0.3377141267
281	0.3345147152
282	0.3313504894
283	0.3282146013
284	0.3251135775
285	0.3225763943
286	0.3195385772
287	0.3170785611
288	0.3140992952
289	0.3115820023
290	0.3086609773
291	0.3061942468
292	0.3024700581
293	0.3001810583
294	0.2983730616
295	0.2955885736
296	0.293562707
297	0.2912581061
298	0.2891681166
299	0.2864757499
300	0.2838131937
301	0.2817793989
302	0.2791664985
303	0.2766519859
304	0.2740922611
305	0.2716328808
306	0.2700021506
307	0.2680748139
308	0.2664678066
309	0.2645690395
310	0.2625684579
311	0.2607137067
312	0.2591539883
313	0.2571277869
314	0.2552187586
315	0.2534897061
316	0.2511661105
317	0.2493972582
318	0.2479079251
319	0.245640919
320	0.2438255211
321	0.2419964086
322	0.240553966
323	0.2391217227
324	0.2373598368
325	0.23594846
326	0.2341191659
327	0.2327285639
328	0.2312472605
329	0.2295462779
330	0.227860463
331	0.2265093065
332	0.225069014
333	0.2237361288
334	0.2223143194
335	0.2209994371
336	0.2195530953
337	0.2181590698
338	0.2168709634
339	0.2155918891
340	0.2142240206
341	0.2126563241
342	0.2114039474
343	0.2100636827
344	0.2088281437
345	0.2076012377
346	0.2063828999
347	0.2051730659
348	0.2039716719
349	0.2027786549
350	0.2015939524
351	0.2004175027
352	0.1988644394
353	0.1977052604
354	0.1965541535
355	0.1954110592
356	0.1942759185
