iter	Passed	Remaining
0	1	1510
1	3	1519
2	4	1452
3	5	1447
4	7	1464
5	8	1447
6	10	1453
7	11	1443
8	13	1459
9	14	1449
10	15	1403
11	16	1348
12	17	1315
13	18	1312
14	20	1317
15	21	1319
16	22	1325
17	24	1327
18	25	1319
19	26	1309
20	27	1296
21	28	1283
22	29	1273
23	31	1270
24	32	1260
25	34	1288
26	35	1272
27	37	1289
28	38	1292
29	39	1282
30	40	1273
31	42	1270
32	43	1266
33	44	1258
34	45	1253
35	46	1252
36	47	1247
37	49	1243
38	50	1247
39	52	1249
40	53	1251
41	54	1243
42	55	1243
43	57	1240
44	57	1223
45	58	1219
46	60	1217
47	61	1215
48	62	1210
49	63	1208
50	64	1205
51	66	1203
52	67	1201
53	68	1199
54	69	1202
55	71	1200
56	72	1197
57	73	1195
58	75	1197
59	76	1194
60	77	1188
61	78	1183
62	79	1179
63	80	1173
64	81	1169
65	82	1164
66	83	1160
67	84	1158
68	85	1155
69	86	1146
70	87	1142
71	88	1140
72	89	1140
73	90	1136
74	91	1132
75	92	1129
76	93	1126
77	94	1122
78	96	1119
79	97	1116
80	98	1114
81	99	1111
82	100	1108
83	101	1106
84	103	1110
85	104	1110
86	105	1108
87	106	1107
88	108	1107
89	109	1105
90	110	1104
91	111	1102
92	112	1101
93	114	1102
94	115	1100
95	116	1098
96	117	1097
97	119	1096
98	120	1094
99	121	1092
100	122	1089
101	123	1085
102	124	1085
103	125	1081
104	126	1081
105	128	1080
106	129	1078
107	130	1076
108	131	1075
109	132	1073
110	133	1071
111	134	1068
112	135	1066
113	137	1065
114	138	1063
115	139	1062
116	140	1060
117	141	1058
118	142	1057
119	144	1056
120	145	1055
121	146	1051
122	147	1050
123	148	1048
124	149	1047
125	150	1045
126	151	1043
127	152	1041
128	154	1041
129	155	1039
130	156	1038
131	157	1037
132	159	1037
133	160	1035
134	161	1033
135	162	1032
136	163	1031
137	165	1030
138	166	1029
139	167	1028
140	168	1027
